date,count
4/29/20,1
4/28/20,1
4/24/20,1
4/19/20,1
4/4/20,1
4/3/20,2
4/2/20,5
4/1/20,1
3/30/20,1
3/27/20,1
3/26/20,1
3/25/20,5
3/24/20,2
3/23/20,1
3/20/20,1
3/19/20,2
3/13/20,1
3/10/20,1
3/8/20,1
3/4/20,1
3/3/20,1
3/1/20,1
2/29/20,5
2/28/20,1
2/25/20,2
2/24/20,7
2/23/20,4
2/21/20,2
2/15/20,1
2/13/20,3
2/12/20,1
2/11/20,2
2/9/20,1
2/7/20,3
2/5/20,2
2/3/20,2
1/31/20,2
1/30/20,1
1/28/20,5
1/26/20,1
1/24/20,6
1/22/20,6
1/21/20,6
1/20/20,2
1/18/20,1
1/17/20,7
1/14/20,2
1/13/20,1
1/10/20,2
1/9/20,1
1/8/20,1
1/6/20,1
1/3/20,1
12/31/19,2
12/27/19,1
12/26/19,1
12/21/19,2
12/20/19,3
12/19/19,1
12/16/19,1
12/15/19,1
12/13/19,1
12/11/19,4
12/10/19,1
12/8/19,3
12/7/19,2
12/6/19,1
12/5/19,1
12/4/19,3
12/3/19,1
12/2/19,1
12/1/19,2
11/29/19,2
11/27/19,1
11/25/19,2
11/24/19,1
11/22/19,3
11/19/19,1
11/17/19,2
11/15/19,6
11/14/19,2
11/11/19,1
11/9/19,1
11/8/19,1
11/7/19,1
11/6/19,1
11/5/19,1
10/30/19,2
10/28/19,2
10/21/19,1
10/18/19,1
10/17/19,1
10/14/19,2
10/10/19,1
10/7/19,1
10/1/19,1
9/30/19,1
9/25/19,1
9/24/19,1
9/23/19,1
9/22/19,1
9/20/19,3
9/19/19,3
9/18/19,1
9/16/19,1
9/14/19,1
9/13/19,1
9/12/19,2
9/11/19,6
9/10/19,4
9/9/19,2
9/7/19,3
9/6/19,1
9/5/19,1
9/4/19,2
9/3/19,1
8/31/19,1
8/30/19,7
8/29/19,1
8/27/19,1
8/23/19,2
8/22/19,3
8/21/19,8
8/16/19,1
8/15/19,1
8/11/19,2
8/10/19,4
8/9/19,2
8/6/19,1
7/31/19,1
7/30/19,2
7/29/19,2
7/26/19,4
7/25/19,3
7/18/19,3
7/17/19,12
7/16/19,11
7/13/19,2
7/12/19,4
7/9/19,1
7/8/19,2
7/3/19,1
6/29/19,2
6/27/19,2
6/26/19,2
6/21/19,2
6/20/19,4
6/19/19,4
6/18/19,1
6/17/19,1
6/16/19,1
6/15/19,1
6/14/19,2
6/13/19,2
6/12/19,1
6/11/19,2
6/10/19,9
6/3/19,2
5/31/19,2
5/28/19,1
5/27/19,2
5/25/19,3
5/24/19,6
5/23/19,8
5/22/19,1
5/21/19,1
5/20/19,5
5/19/19,2
5/16/19,2
5/13/19,4
5/12/19,1
5/10/19,2
5/9/19,1
5/8/19,5
5/7/19,4
5/6/19,7
5/5/19,7
5/4/19,19
5/3/19,4
5/2/19,2
5/1/19,12
4/29/19,18
4/28/19,1
4/27/19,2
4/26/19,2
4/24/19,2
4/22/19,1
4/19/19,2
4/18/19,2
4/17/19,1
4/16/19,2
4/15/19,4
4/14/19,1
4/13/19,2
4/12/19,7
4/11/19,16
4/7/19,1
4/4/19,1
4/3/19,1
4/2/19,1
3/27/19,1
3/26/19,1
3/25/19,1
3/22/19,1
3/21/19,1
3/20/19,1
3/19/19,1
3/9/19,1
3/8/19,2
3/7/19,1
3/5/19,1
3/4/19,1
2/27/19,2
2/22/19,1
2/21/19,1
2/20/19,1
2/19/19,1
2/18/19,1
2/16/19,1
2/15/19,3
2/14/19,1
2/13/19,1
2/12/19,6
2/11/19,1
2/9/19,2
2/8/19,1
2/7/19,2
2/6/19,1
2/5/19,3
2/4/19,3
2/2/19,1
2/1/19,3
1/31/19,4
1/29/19,1
1/28/19,2
1/22/19,1
1/17/19,1
1/16/19,3
1/15/19,1
1/11/19,4
1/10/19,2
1/9/19,7
1/8/19,3
1/7/19,2
1/4/19,1
1/3/19,1
1/2/19,2
1/1/19,1
12/28/18,1
12/27/18,2
12/26/18,2
12/25/18,1
12/24/18,2
12/23/18,1
12/21/18,2
12/20/18,2
12/19/18,3
12/18/18,1
12/17/18,1
12/14/18,1
12/13/18,2
12/11/18,2
12/7/18,3
12/5/18,2
12/4/18,1
12/3/18,1
12/2/18,1
12/1/18,1
11/30/18,1
11/29/18,1
11/27/18,1
11/24/18,1
11/19/18,2
11/18/18,2
11/15/18,1
11/13/18,1
11/10/18,1
11/7/18,1
11/5/18,2
11/1/18,5
10/31/18,3
10/30/18,5
10/26/18,2
10/23/18,1
10/20/18,1
10/19/18,2
10/18/18,1
10/17/18,1
10/16/18,2
10/15/18,2
10/13/18,2
10/12/18,5
10/11/18,1
10/9/18,1
10/8/18,1
10/6/18,9
10/5/18,1
10/2/18,1
10/1/18,1
9/26/18,3
9/25/18,2
9/24/18,1
9/19/18,1
9/17/18,1
9/15/18,8
9/14/18,5
9/13/18,1
9/12/18,1
9/11/18,2
9/10/18,2
9/9/18,2
9/7/18,1
9/5/18,2
9/4/18,2
8/31/18,2
8/30/18,5
8/29/18,2
8/28/18,4
8/27/18,5
8/26/18,1
8/24/18,2
8/21/18,1
8/18/18,1
8/15/18,1
8/14/18,5
8/13/18,3
8/10/18,4
8/9/18,1
8/6/18,2
8/4/18,1
8/3/18,5
8/2/18,1
8/1/18,4
7/31/18,1
7/30/18,3
7/28/18,1
7/27/18,1
7/26/18,3
7/25/18,3
7/24/18,8
7/23/18,8
7/22/18,3
7/20/18,2
7/19/18,2
7/18/18,2
7/17/18,1
7/14/18,2
7/13/18,1
7/12/18,1
7/11/18,2
7/10/18,4
7/9/18,3
7/8/18,1
7/5/18,2
7/4/18,1
7/3/18,2
7/1/18,1
6/29/18,5
6/28/18,10
6/27/18,16
6/25/18,1
6/23/18,2
6/22/18,1
6/21/18,4
6/20/18,1
6/18/18,2
6/15/18,2
6/13/18,1
6/12/18,1
6/9/18,1
6/8/18,1
6/7/18,4
6/6/18,1
6/5/18,2
6/4/18,1
6/1/18,1
5/31/18,7
5/29/18,1
5/28/18,1
5/25/18,1
5/24/18,4
5/22/18,1
5/19/18,2
5/18/18,2
5/15/18,1
5/14/18,2
5/13/18,1
5/12/18,1
5/10/18,2
5/9/18,5
5/8/18,2
5/5/18,1
5/4/18,1
5/3/18,5
5/2/18,18
5/1/18,2
4/30/18,2
4/27/18,1
4/26/18,1
4/25/18,2
4/24/18,4
4/23/18,3
4/22/18,1
4/21/18,1
4/20/18,1
4/19/18,5
4/18/18,1
4/12/18,1
4/4/18,3
4/3/18,1
4/1/18,1
3/29/18,2
3/28/18,4
3/25/18,3
3/24/18,1
3/23/18,2
3/22/18,1
3/21/18,3
3/20/18,4
3/19/18,1
3/16/18,6
3/15/18,4
3/14/18,1
3/13/18,1
3/9/18,1
3/8/18,1
3/7/18,2
3/5/18,1
3/4/18,1
3/1/18,4
2/28/18,3
2/27/18,1
2/26/18,1
2/23/18,4
2/22/18,1
2/20/18,5
2/17/18,1
2/16/18,6
2/15/18,1
2/14/18,3
2/13/18,3
2/12/18,13
2/11/18,5
2/10/18,4
2/9/18,11
2/8/18,6
2/7/18,1
2/6/18,2
2/5/18,2
2/3/18,1
2/2/18,2
2/1/18,9
1/31/18,33
1/30/18,42
1/29/18,1
1/27/18,1
1/26/18,5
1/25/18,3
1/24/18,3
1/22/18,2
1/21/18,2
1/19/18,2
1/18/18,3
1/17/18,1
1/15/18,3
1/14/18,1
1/13/18,5
1/12/18,2
1/11/18,11
1/10/18,2
1/9/18,3
1/7/18,1
1/6/18,3
1/4/18,2
1/3/18,9
1/2/18,6
12/29/17,5
12/28/17,2
12/27/17,1
12/25/17,2
12/24/17,11
12/23/17,1
12/22/17,4
12/21/17,10
12/20/17,2
12/14/17,2
12/13/17,12
12/12/17,5
12/11/17,1
12/9/17,1
12/8/17,2
12/7/17,2
12/6/17,1
12/5/17,5
12/4/17,1
12/2/17,2
12/1/17,2
11/30/17,7
11/29/17,4
11/28/17,15
11/26/17,1
11/25/17,1
11/22/17,1
11/21/17,1
11/20/17,4
11/17/17,1
11/15/17,4
11/14/17,1
11/12/17,1
11/10/17,1
11/9/17,5
11/8/17,1
11/7/17,3
11/6/17,1
11/4/17,4
11/3/17,32
11/2/17,69
11/1/17,48
10/31/17,10
10/30/17,15
10/29/17,3
10/28/17,5
10/27/17,3
10/26/17,3
10/25/17,8
10/24/17,5
10/23/17,12
10/22/17,9
10/21/17,2
10/20/17,2
10/19/17,3
10/18/17,2
10/17/17,5
10/16/17,16
10/15/17,1
10/14/17,15
10/13/17,13
10/12/17,11
10/11/17,3
10/10/17,9
10/9/17,1
10/8/17,1
10/6/17,10
10/4/17,4
10/2/17,12
10/1/17,4
9/30/17,1
9/29/17,1
9/28/17,3
9/27/17,1
9/26/17,5
9/24/17,1
9/23/17,3
9/22/17,1
9/21/17,2
9/20/17,1
9/19/17,3
9/18/17,7
9/16/17,1
9/15/17,1
9/14/17,3
9/12/17,2
9/11/17,4
9/10/17,1
9/8/17,3
9/7/17,2
9/6/17,3
9/5/17,1
9/4/17,1
9/3/17,1
8/29/17,2
8/28/17,2
8/27/17,2
8/26/17,1
8/24/17,6
8/21/17,2
8/18/17,3
8/17/17,2
8/16/17,4
8/15/17,1
8/11/17,2
8/10/17,1
8/9/17,1
8/8/17,2
8/6/17,1
8/5/17,1
8/4/17,1
8/3/17,2
8/2/17,5
8/1/17,1
7/30/17,3
7/29/17,6
7/28/17,8
7/27/17,5
7/26/17,3
7/25/17,2
7/24/17,3
7/23/17,2
7/22/17,1
7/21/17,8
7/20/17,1
7/19/17,3
7/18/17,2
7/17/17,3
7/16/17,5
7/15/17,4
7/13/17,5
7/12/17,10
7/11/17,3
7/10/17,4
7/9/17,3
7/8/17,7
7/7/17,29
7/6/17,4
7/5/17,4
7/4/17,14
7/3/17,2
7/2/17,1
6/29/17,1
6/28/17,2
6/27/17,1
6/26/17,1
6/25/17,1
6/24/17,3
6/23/17,6
6/22/17,1
6/21/17,2
6/20/17,2
6/17/17,1
6/16/17,1
6/15/17,1
6/14/17,1
6/13/17,6
6/12/17,1
6/11/17,1
6/9/17,5
6/8/17,2
6/7/17,4
6/6/17,3
6/5/17,1
6/4/17,1
6/3/17,1
6/2/17,7
6/1/17,3
5/31/17,3
5/30/17,7
5/29/17,1
5/27/17,3
5/26/17,2
5/25/17,4
5/24/17,9
5/23/17,2
5/22/17,5
5/20/17,1
5/19/17,2
5/18/17,8
5/17/17,7
5/16/17,2
5/15/17,5
5/13/17,1
5/12/17,2
5/11/17,2
5/9/17,1
5/8/17,1
5/5/17,2
5/4/17,2
5/3/17,3
5/2/17,1
5/1/17,4
4/30/17,2
4/29/17,2
4/28/17,1
