year,CNET,CNN,Daily Mail,Daily News,Daily Telegraph,FOX News,Forbes,Guardian US,Huffington Post,LA Times,MSNBC,NY Post,New York Times,Newsweek ,Reuters ,The Boston Globe,Time,USA Today,Wall Street Journal,Washington Post,cbs news,sfchronicle
2010,1.0,50.0,46.0,40.0,18.0,100.0,0.0,21.0,24.0,71.0,64.0,51.0,20.0,0.0,57.0,125.0,20.0,8.0,53.0,129.0,38.0,18.0
2011,4.0,93.0,95.0,36.0,49.0,122.0,15.0,19.0,73.0,117.0,71.0,39.0,37.0,1.0,76.0,167.0,61.0,17.0,100.0,237.0,84.0,36.0
2012,2.0,90.0,108.0,63.0,45.0,124.0,21.0,36.0,115.0,82.0,67.0,68.0,24.0,9.0,103.0,114.0,38.0,26.0,63.0,122.0,93.0,11.0
2013,8.0,142.0,134.0,93.0,34.0,200.0,27.0,60.0,470.0,133.0,188.0,41.0,92.0,6.0,169.0,142.0,72.0,68.0,87.0,323.0,105.0,23.0
2014,0.0,165.0,322.0,96.0,71.0,207.0,11.0,43.0,337.0,162.0,180.0,52.0,24.0,34.0,145.0,29.0,66.0,101.0,114.0,265.0,112.0,177.0
2015,1.0,137.0,331.0,55.0,49.0,190.0,9.0,44.0,208.0,301.0,107.0,35.0,12.0,39.0,151.0,5.0,41.0,65.0,69.0,281.0,94.0,178.0
2016,1.0,117.0,420.0,55.0,15.0,155.0,15.0,40.0,140.0,178.0,98.0,34.0,13.0,23.0,95.0,5.0,62.0,73.0,65.0,308.0,77.0,134.0
2017,1.0,57.0,296.0,53.0,22.0,139.0,12.0,23.0,89.0,77.0,36.0,32.0,4.0,40.0,38.0,11.0,36.0,50.0,21.0,215.0,158.0,101.0
2018,0.0,103.0,162.0,16.0,12.0,69.0,5.0,23.0,38.0,22.0,14.0,12.0,10.0,23.0,21.0,9.0,15.0,28.0,12.0,118.0,17.0,41.0
2019,1.0,53.0,69.0,5.0,0.0,61.0,10.0,10.0,10.0,14.0,16.0,23.0,5.0,14.0,24.0,11.0,8.0,30.0,4.0,101.0,19.0,33.0
2020,0.0,19.0,15.0,1.0,2.0,15.0,1.0,2.0,3.0,22.0,9.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,5.0,29.0,0.0,9.0
